filename|year|standard|code|title
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|921|Fish Hatcheries and Preserves (shellfish hatcheries)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|273|Animal Aquaculture (except finfish and shellfish farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|279|Animal Specialties, NEC (frog and alligator farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|279|Animal Specialties, NEC (apiculture)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|272|Horses and Other Equines
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|271|Fur-Bearing Animals and Rabbits
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|219|General Livestock, Except Dairy and Poultry
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|279|Animal Specialties, NEC (except apiculture, frog and alligator farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|291|General Farms, Primarily Livestock and Animal Specialties
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|811|Timber Tracts (long term timber farms)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|831|Forest Nurseries and Gathering of Forest Products (forest products, except gathering of maple sap)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|2411|Logging
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|912|Finfish
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|913|Shellfish
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|919|Miscellaneous Marine Products (catching sea urchins)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|919|Miscellaneous Marine Products (except plant aquaculture, cultured pearl production, and catching sea urchins)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|971|Hunting and Trapping, and Game Propagation
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|724|Cotton Ginning
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|711|Soil Preparation Services
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|721|Crop Planting, Cultivating, and Protecting
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|722|Crop Harvesting, Primarily by Machine
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|723|Crop Preparation Services for Market, Except Cotton Ginning (except custom grain grinding)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|761|Farm Labor Contractors and Crew Leaders
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|762|Farm Management Services
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|751|Livestock Services, Except Veterinary (except custom slaughtering)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|752|Animal Specialty Services, Except Veterinary (boarding and training horses (except race horses), animal semen banks, and artificial insemination services for pets)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|7699|Repair Shops and Related Services, NEC (farriers)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|851|Forestry Services
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1311|Crude Petroleum and Natural Gas
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1321|Natural Gas Liquids
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|2819|Industrial Inorganic Chemicals, NEC (recovering sulfur from natural gas)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1221|Bituminous Coal and Lignite Surface Mining
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1222|Bituminous Coal Underground Mining
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1231|Anthracite Mining
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1011|Iron Ores
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1041|Gold Ores
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1044|Silver Ores
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1031|Lead and Zinc Ores
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1021|Copper Ores
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1061|Ferroalloy Ores, Except Vanadium (nickel)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1094|Uranium-Radium-Vanadium Ores
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1061|Ferroalloy Ores, Except Vanadium (other ferroalloys except nickel)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1099|Miscellaneous Metal Ores, NEC
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1411|Dimension Stone
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1422|Crushed and Broken Limestone
